breed_name,species,alt_names,origin_country,height,weight,life_span,personality_traits,description,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,hypoallergenic,wikipedia_url,senior_friendly,urban_friendly,family_compatibility_score,social_environment_score,child_friendly_norm,stranger_friendly_norm,dog_friendly_norm,energy_level_norm,vocalisation_norm,affection_level_norm,intelligence_norm,adaptability_norm,senior_friendly_norm,urban_friendly_norm,senior_friendly_label,urban_friendly_label,family_compatibility_label,social_environment_label,breed_cluster,recommendation,recommendation_confidence,multi_cluster_membership,persona_match,persona_explainability_text,heat_tolerance,cold_tolerance,humidity_tolerance,all_weather_adaptability,recommended_climate_types,dietary_sensitivity_level,common_food_allergies,digestion_robustness,obesity_prone,recommended_diet_type,climate_data_source,diet_data_source,guardian_note,Avg monthly_food_cost_inr,Avg exercise_minutes_daily,Avg grooming_hours_monthly,Avg social_interaction_hours_daily,Avg total_daily_time_hours,Avg professional_grooming_cost_monthly,Avg vet_cost_monthly_avg,Avg total_monthly_cost_inr
Black and Tan Coonhound,Dog,,United States,58-69 cm,29-50 kg,10-12 years,"Easygoing, Trusting, Gentle, Adaptive, Even Tempered",An American scenthound bred for hunting raccoons.,2.4,5,5,5,5,4,5,5,5,5,5,5,0,https://en.wikipedia.org/wiki/Black_and_Tan_Coonhound,2.2,3.2,84,80.2,1,1,1,1,1,1,1,0.35,0.243243243,0.461538462,Moderate,Good,Excellent,Excellent,Family Dog,Best for families with children; Great for active owners,92,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,1,Minimal (Hounds generally robust),3,High,"Balanced, Portion control",archetype,archetype,Needs large open space; not ideal for small flats.,9300,120,4,6,8.5,200,500,11000
Bloodhound,Dog,St. Hubert Hound,Belgium,58-69 cm,36-50 kg,10-12 years,"Gentle, Affectionate, Even Tempered, Stubborn",A large scent hound famous for tracking ability.,2.4,5,5,5,5,1,3,4,4,5,5,4,0,https://en.wikipedia.org/wiki/Bloodhound,2.5,3.2,84,79.2,1,1,1,1,0.75,1,0.75,0.35,0.324324324,0.461538462,Moderate,Good,Excellent,Good,Family Dog,Best for families with children; Great for active owners,92,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,"Soy, corn",3,Medium,"Large-breed formula, Joint support, Controlled growth",archetype,archetype,Needs large open space; not ideal for small flats.,10200,120,14.5,6,9,7300,1200,20600
Blue Lacy,Dog,Lacy Dog,United States,46-53 cm,11-23 kg,12-16 years,"Active, Alert, Intelligent, Intense, Bold",A Texas breed used for hunting and herding.,2.4,4,3,2,5,5,4,5,3,3,2,5,0,https://en.wikipedia.org/wiki/Blue_Lacy,1.9,2.3,53,50.2,0.5,0.25,0.25,1,1,0.75,1,0.35,0.162162162,0.115384615,Poor,Moderate,Moderate,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,4000,120,1.5,4.5,7,0,800,5300
Bluetick Coonhound,Dog,,United States,53-69 cm,20-36 kg,11-12 years,"Friendly, Intelligent, Active, Loyal, Sociable",An American coonhound with distinctive blue-ticked coat.,2.8,5,5,3,5,5,4,4,2,4.33,3,4,0,https://en.wikipedia.org/wiki/Bluetick_Coonhound,2.5,2.6,76,60.4,1,0.5,0.5,1,0.75,1,0.75,0.45,0.324324324,0.230769231,Moderate,Moderate,Good,Good,Family Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,1,Minimal (Hounds generally robust),3,High,"Balanced, Portion control",archetype,archetype,Needs large open space; not ideal for small flats.,6600,120,1.5,6,8.5,0,800,8100
BoShih,Dog,,United States,23-28 cm,5-8 kg,12-15 years,"Playful, Affectionate, Lively, Friendly, Alert",A mix of Boston Terrier and Shih Tzu.,3,4,2,3,3,5,3,3,2,3,4,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.6,3.6,62,69,0.25,0.75,0.5,0.5,0.25,0.75,0.5,0.5,0.621621622,0.615384615,Good,Good,Good,Good,Balanced / General Companion,Best for general companionship,69,Balanced / General Companion,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",1500,45,1.5,4.5,6,0,1200,3000
Bocker,Dog,,United States,30-46 cm,9-14 kg,12-15 years,"Friendly, Playful, Affectionate, Energetic, Social",A cross between Beagle and Cocker Spaniel.,3.4,5,4,4,4,3,3,4,3,4.33,4,5,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.6,2.8,77,69.2,0.75,0.75,0.75,0.75,1,1,0.75,0.6,0.351351351,0.307692308,Moderate,Moderate,Good,Good,Family Dog,Great for active owners,80,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.,2700,75,5.5,6,8,700,1200,5100
Boerboel,Dog,South African Mastiff,South Africa,59-70 cm,50-90 kg,9-11 years,"Obedient, Intelligent, Confident, Dominant, Territorial",A large South African mastiff used for farm protection.,2,4,4,2,3,4,4,4,3,3.33,2,3,0,https://en.wikipedia.org/wiki/Boerboel,3.3,3,68,51,0.75,0.25,0.25,0.5,0.5,0.75,0.75,0.25,0.540540541,0.384615385,Good,Moderate,Good,Moderate,Balanced / General Companion,Good as a guard or alert dog,80,Guard / Watch Dog,Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,"Soy, corn",3,Medium,"Large-breed formula, Joint support, Controlled growth",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. ?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",16600,45,3,4.5,6,200,800,19400
Boglen Terrier,Dog,,United States,30-41 cm,9-14 kg,10-15 years,"Friendly, Playful, Alert, Affectionate, Intelligent",A mix of Beagle and Boston Terrier.,3.2,5,5,5,4,4,3,2,2,5,5,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.9,2.9,88,73.6,1,1,1,0.75,0.75,1,0.25,0.55,0.432432432,0.346153846,Moderate,Moderate,Excellent,Good,Family Dog,Best for families with children; Great for active owners,84,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",2700,75,3,6,8,200,1200,4500
Bohemian Shepherd,Dog,Chodsky Pes,Czech Republic,49-55 cm,16-25 kg,12-15 years,"Lively, Loyal, Alert, Trainable, Calm",A Czech herding dog used for guarding and herding.,3,4,4,4,4,4,4,5,4,4,3,2,0,https://en.wikipedia.org/wiki/Bohemian_Shepherd,3.2,3.6,68,75,0.75,0.5,0.75,0.75,0.25,0.75,1,0.5,0.513513514,0.615384615,Good,Good,Good,Good,Active / Outdoor Dog,Great for active owners,80,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",4800,75,3.5,4.5,6.5,200,800,6400
Bolognese,Dog,Bolo,Italy,25-30 cm,3-6 kg,12-14 years,"Docile, Serious, Intelligent, Loyal, Calm",A small Italian companion dog related to Bichon.,3.4,5,5,5,3,1,5,4,1,5,5,4,0,https://en.wikipedia.org/wiki/Bolognese_(dog),3.3,3.6,92,82.2,1,1,1,0.5,0.75,1,0.75,0.6,0.540540541,0.615384615,Good,Good,Excellent,Excellent,Family Dog,Best for families with children,92,Family Dog,Family with young children,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children.",3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",1100,45,9.5,6,7.5,3400,500,5500
Borador,Dog,,United States,46-58 cm,18-27 kg,10-15 years,"Intelligent, Energetic, Friendly, Loyal, Playful",A cross between Border Collie and Labrador Retriever.,2.6,5,4,4,4,3,3,5,4,4.33,4,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.5,3.8,77,79.8,0.75,0.75,0.75,0.75,0.25,1,1,0.4,0.594594595,0.692307692,Good,Good,Good,Good,Family Dog,Great for active owners,80,"Family Dog, City / Apartment Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.,5300,75,6,6,8,800,1200,8000
Border Collie,Dog,,United Kingdom,46-56 cm,12-20 kg,12-15 years,"Intelligent, Energetic, Responsive, Alert, Loyal","The most intelligent dog breed, exceptional herding dog.",2.8,5,4,3,5,3,2,5,3,4,5,2,0,https://en.wikipedia.org/wiki/Border_Collie,3.1,4,77,82.4,0.75,1,0.5,1,0.25,1,1,0.45,0.486486486,0.769230769,Moderate,Good,Good,Excellent,Family Dog,Well-suited for city living; Great for active owners,90,"Family Dog, City / Apartment Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Low,"High-protein, Performance diet",archetype,archetype,"?? WARNING: Border Collies are NOT suitable for casual pet owners. REQUIRES 2-3 hours of vigorous exercise plus mental challenges DAILY (herding, agility, advanced training). Without sufficient outlets, they WILL develop serious behavioral issues: destructiveness, obsessive behaviors, neurotic tendencies, excessive barking. They may attempt to herd children, pets, or cars. Only for experienced, extremely active owners with time for training and activities. Not recommended for apartments or first-time dog owners.",3800,120,5.5,6,8.5,700,2000,7200
Border Sheepdog,Dog,,United States,41-51 cm,11-18 kg,12-15 years,"Intelligent, Energetic, Loyal, Alert, Friendly",A cross between Border Collie and Shetland Sheepdog.,2.6,5,4,3,5,3,4,5,3,4,3,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.5,2.8,69,63.8,0.75,0.5,0.5,1,0.75,1,1,0.4,0.324324324,0.307692308,Moderate,Moderate,Good,Good,Balanced / General Companion,Great for active owners,100,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,Needs large open space; not ideal for small flats.,3400,120,5.5,6,8.5,700,800,5400
Border Terrier,Dog,,United Kingdom,28-36 cm,5-7 kg,12-15 years,"Fearless, Affectionate, Alert, Obedient, Intelligent",A small working terrier from the Scottish borders.,3,5,4,2,4,2,4,5,3,3.67,5,1,0,https://en.wikipedia.org/wiki/Border_Terrier,3.8,4.4,81,82,0.75,1,0.25,0.75,0,1,1,0.5,0.675675676,0.923076923,Good,Excellent,Excellent,Excellent,Family Dog,Best for families with children; Well-suited for city living; Great for active owners,83,"Family Dog, City / Apartment Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected.",1400,75,8.5,6,8,1400,800,4000
Bordoodle,Dog,,United States,41-56 cm,14-27 kg,12-15 years,"Intelligent, Energetic, Playful, Loyal, Friendly",A cross between Border Collie and Poodle.,3.6,4,5,3,3,4,4,5,2,4,2,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.6,3.4,75,66.8,1,0.25,0.5,0.5,0.25,0.75,1,0.65,0.621621622,0.538461538,Good,Good,Good,Good,Family Dog,Good as a guard or alert dog,80,"Family Dog, Guard / Watch Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,"Chicken, wheat, corn",3,Medium,"Balanced, Grain-free option",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",4800,45,3,4.5,6,200,800,6400
Borzoi,Dog,Russian Wolfhound,Russia,66-79 cm,27-48 kg,9-14 years,"Gentle, Intelligent, Athletic, Quiet, Independent",A large Russian sighthound used for wolf hunting.,3.6,4,3,4,2,4,4,4,5,3.67,4,2,0,https://en.wikipedia.org/wiki/Borzoi,4,4,73,78.8,0.5,0.75,0.75,0.25,0.25,0.75,0.75,0.65,0.72972973,0.769230769,Good,Good,Good,Good,City / Apartment Dog,Ideal for seniors or calm households; Well-suited for city living,80,"Family Dog, City / Apartment Dog",Young professional in apartment; Senior or retired owner,"Calm energy, good adaptability, and low vocalisation make this breed suitable for apartment living and busy urban lifestyles. Lower energy needs, gentle behavior, and manageable vocalisation suit quieter households and senior owners.",3,3,3,60,Temperate,3,"Corn, wheat, soy, grains",3,Low,"High-protein, Easily digestible",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. ?? Sighthound considerations: Strong prey drive - not safe off-leash in unfenced areas. May chase cats and small animals. Sensitive to anesthesia (require special veterinary protocols). Thin coat - needs warm bedding.",8900,30,4,4.5,5.5,200,800,10900
Bossie,Dog,,United States,33-51 cm,11-18 kg,12-15 years,"Friendly, Energetic, Intelligent, Loyal, Playful",A cross between Boston Terrier and Australian Shepherd.,3,4,4,4,4,3,3,4,2,4,4,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.9,3.4,72,74,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.432432432,0.538461538,Moderate,Good,Good,Good,Active / Outdoor Dog,Great for active owners,80,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.,3400,75,4.5,4.5,6.5,700,1200,5800
Boston Boxer,Dog,,United States,38-58 cm,11-23 kg,10-15 years,"Friendly, Energetic, Playful, Loyal, Alert",A mix of Boston Terrier and Boxer.,3,4,4,4,4,4,4,4,3,4,2,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.9,2.8,64,62,0.75,0.25,0.75,0.75,0.5,0.75,0.75,0.5,0.432432432,0.307692308,Moderate,Moderate,Good,Good,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,4,"Wheat, corn, soy, chicken",3,Medium,"Balanced, Multiple small meals (bloat prevention)",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",4000,75,3,4.5,6.5,200,800,5500
Boston Terrier,Dog,Boston Bull,United States,38-43 cm,5-11 kg,11-13 years,"Friendly, Lively, Intelligent, Amusing, Affectionate","An American gentleman, a tuxedo-wearing companion breed.",4,4,5,5,4,5,4,4,2,4.67,4,3,0,https://en.wikipedia.org/wiki/Boston_Terrier,2.9,3.4,79,81,1,0.75,1,0.75,0.5,0.75,0.75,0.75,0.432432432,0.538461538,Moderate,Good,Good,Excellent,Family Dog,Great for active owners,80,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,4,"Chicken, wheat, corn, dairy",3,High,"Small kibble, Easily digestible",archetype,archetype,"?? Brachycephalic (flat-faced) breed: Prone to breathing difficulties, heat sensitivity, snoring, dental issues. Cannot tolerate hot weather or strenuous exercise. Requires special care during hot months. Daily facial cleaning needed. ?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",1900,75,1.5,6,8,0,800,3000
Boston Terrier Pekingese Mix,Dog,,United States,25-38 cm,5-10 kg,11-15 years,"Friendly, Alert, Affectionate, Playful, Loyal",A cross between Boston Terrier and Pekingese.,2.8,4,4,3,3,4,4,4,2,3.67,3,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3,3,72,60.4,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.45,0.459459459,0.384615385,Moderate,Moderate,Good,Good,Balanced / General Companion,Best for general companionship,60.4,Family Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,4,"Chicken, wheat, corn, dairy",3,High,"Small kibble, Easily digestible",archetype,archetype,"?? Brachycephalic (flat-faced) breed: Prone to breathing difficulties, heat sensitivity, snoring, dental issues. Cannot tolerate hot weather or strenuous exercise. Requires special care during hot months. Daily facial cleaning needed. ?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",1800,45,3,4.5,6,200,800,3100
Bouvier des Flandres,Dog,Flanders Cattle Dog,Belgium,59-69 cm,27-40 kg,10-12 years,"Loyal, Gentle, Rational, Protective, Familial",A large Belgian herding dog with a rough coat.,3,5,5,2,4,2,3,4,1,4,2,4,0,https://en.wikipedia.org/wiki/Bouvier_des_Flandres,2.9,2.5,76,51,1,0.25,0.25,0.75,0.75,1,0.75,0.5,0.432432432,0.192307692,Moderate,Moderate,Good,Moderate,Family Dog,Great for active owners; Good as a guard or alert dog,80,"Family Dog, Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.,7900,75,6,6,8,2500,1200,12800
Boxador,Dog,,United States,56-64 cm,25-45 kg,10-14 years,"Intelligent, Energetic, Friendly, Loyal, Playful",A cross between Boxer and Labrador Retriever.,2,5,4,4,5,5,2,5,4,4.33,4,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.8,3.4,73,75,0.75,0.75,0.75,1,0.5,1,1,0.25,0.405405405,0.538461538,Moderate,Good,Good,Good,Active / Outdoor Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,8300,120,2,6,8.5,0,2000,11300
Boxer,Dog,German Boxer,Germany,53-63 cm,25-32 kg,10-12 years,"Playful, Energetic, Bright, Fearless, Friendly",A medium-large working dog with boundless energy.,2.8,5,4,3,5,5,2,4,4,4,4,3,0,https://en.wikipedia.org/wiki/Boxer_(dog),2.8,3.2,73,69.4,0.75,0.75,0.5,1,0.5,1,0.75,0.45,0.405405405,0.461538462,Moderate,Good,Good,Good,Active / Outdoor Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,4,"Wheat, Corn, Soy, Chicken",3,Medium,"Balanced, Multiple small meals",archetype,archetype,Needs large open space; not ideal for small flats.,6700,120,2,6,8.5,0,2000,9600
Boxerdoodle,Dog,,United States,51-64 cm,14-25 kg,10-12 years,"Friendly, Playful, Intelligent, Energetic, Loyal",A mix of Boxer and Poodle.,2.4,4,3,4,4,3,3,4,2,3.67,3,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.2,3.3,61,69.2,0.5,0.5,0.75,0.75,0.25,0.75,0.75,0.35,0.513513514,0.5,Good,Good,Good,Good,Active / Outdoor Dog,Great for active owners,80,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,4,"Wheat, corn, soy, chicken",3,Medium,"Balanced, Multiple small meals (bloat prevention)",archetype,archetype,Designer/mixed breed - traits can vary based on parent breeds. High-energy breed requires 1-2 hours daily exercise. Not suitable for sedentary lifestyles or small apartments without adequate outdoor access. Breed prone to health issues - regular veterinary check-ups and health screening recommended. Consider pet insurance.,4600,75,4.5,4.5,6.5,800,1200,7300
Boxmatian,Dog,,United States,46-61 cm,23-36 kg,10-13 years,"Energetic, Playful, Loyal, Alert, Friendly",A cross between Boxer and Dalmatian.,2,4,3,2,5,3,5,4,3,3,1,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.5,2.2,49,45,0.5,0,0.25,1,0.5,0.75,0.75,0.25,0.324324324,0.076923077,Moderate,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,100,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,7000,120,5.5,4.5,7,900,500,9200
Boxweiler,Dog,,United States,56-69 cm,32-45 kg,9-13 years,"Loyal, Protective, Energetic, Intelligent, Playful",A mix of Boxer and Rottweiler.,2.8,5,4,4,4,3,3,4,3,4.33,2,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.2,2.8,69,61.4,0.75,0.25,0.75,0.75,0.5,1,0.75,0.45,0.513513514,0.307692308,Good,Moderate,Good,Good,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.,9100,75,5.5,6,8,1100,1200,12500
Boykin Spaniel,Dog,,United States,36-46 cm,11-18 kg,14-16 years,"Friendly, Energetic, Trainable, Eager, Companionable",A medium-sized spaniel from South Carolina for waterfowl.,2.8,5,5,4,5,1,2,4,4,4.67,3,3,0,https://en.wikipedia.org/wiki/Boykin_Spaniel,2.8,2.8,76,67.4,1,0.5,0.75,1,0.5,1,0.75,0.45,0.405405405,0.307692308,Moderate,Moderate,Good,Good,Family Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,1,Minimal (Sporting breeds generally robust),3,Medium,"High-protein, Performance diet",archetype,archetype,Needs large open space; not ideal for small flats.,3400,120,14.5,6,9,4400,2000,10800
Bracco Italiano,Dog,Italian Pointer,Italy,55-67 cm,25-40 kg,10-14 years,"Docile, Affectionate, Loyal, Energetic, Intelligent",An Italian pointing dog with an aristocratic appearance.,2.6,5,4,5,4,5,2,4,3,4.67,3,2,0,https://en.wikipedia.org/wiki/Bracco_Italiano,3.5,3.3,73,73.8,0.75,0.5,1,0.75,0.25,1,0.75,0.4,0.594594595,0.5,Good,Good,Good,Good,Active / Outdoor Dog,Great for active owners,80,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",7700,75,1.5,6,8,0,2000,10700
